AphiaID	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
448695	1	NA	NA	NA	NA
448748	1	NA	NA	NA	NA
448733	1	1	NA	NA	NA
341204	1	NA	NA	NA	NA
341201	1	NA	NA	NA	NA
815469	1	NA	NA	NA	NA
815468	1	NA	NA	NA	NA
817700	1	NA	NA	NA	NA
817696	1	NA	NA	NA	NA
100605	1	NA	NA	NA	NA
341187	1	NA	NA	1	NA
341195	1	NA	NA	NA	NA
419315	1	1	1	NA	NA
998013	1	NA	NA	NA	NA
448634	1	NA	1	NA	NA
448700	1	NA	NA	NA	NA
100587	1	NA	1	NA	NA
448798	1	NA	NA	NA	NA
448814	1	NA	NA	NA	NA
341189	1	NA	NA	NA	NA
448857	1	NA	NA	NA	NA
448736	1	1	NA	NA	NA
159728	1	NA	NA	NA	NA
100630	1	NA	NA	1	NA
1440729	1	NA	NA	1	NA
448699	1	NA	NA	NA	NA
341181	1	NA	NA	NA	NA
872650	1	NA	NA	NA	NA
448754	1	NA	NA	NA	NA
815467	1	NA	NA	NA	NA
448778	1	NA	1	NA	NA
448796	1	1	NA	NA	NA
448835	1	NA	NA	NA	NA
448624	1	NA	1	NA	NA
100626	1	1	1	NA	NA
1023345	1	NA	NA	NA	NA
868264	1	NA	NA	NA	NA
836277	1	NA	NA	NA	NA
448729	1	1	1	NA	NA
448885	1	NA	NA	NA	NA
448807	1	NA	NA	NA	NA
817693	1	NA	NA	NA	NA
448833	1	NA	NA	NA	NA
448842	1	NA	NA	NA	NA
147793	1	NA	NA	NA	NA
341193	1	NA	NA	NA	NA
448903	1	NA	NA	NA	NA
100599	1	1	NA	NA	NA
341203	1	NA	NA	NA	NA
817695	1	NA	NA	NA	NA
448838	1	NA	NA	NA	NA
448839	1	NA	NA	NA	NA
341186	1	NA	NA	NA	NA
448868	1	NA	NA	NA	NA
1054304	1	NA	NA	NA	NA
448904	1	NA	NA	NA	NA
448690	1	NA	1	NA	NA
448769	1	NA	NA	NA	NA
100607	1	NA	NA	NA	NA
341196	1	NA	NA	NA	NA
448636	1	1	NA	NA	NA
1054341	1	NA	NA	NA	NA
817698	1	NA	NA	NA	NA
147792	1	NA	NA	NA	NA
370681	1	NA	NA	NA	NA
370698	1	NA	NA	NA	NA
137476	1	1	NA	0	0
238733	1	NA	NA	NA	NA
475910	1	0	0	0	0
993078	0	1	1	0	0
475618	1	0	0	0	0
475627	1	0	0	0	0
475633	1	NA	NA	NA	NA
475640	1	0	0	0	0
475641	1	0	0	0	0
475644	1	NA	0	0	0
475790	1	0	0	0	0
475966	1	NA	NA	NA	NA
475982	1	0	0	0	0
390044	0	1	1	0	NA
476024	1	NA	NA	NA	NA
137569	1	NA	1	NA	NA
414046	1	1	0	0	0
475827	1	NA	0	0	0
475832	1	0	0	0	0
476074	1	NA	NA	NA	NA
475732	1	0	0	0	0
475734	1	NA	0	0	0
331981	1	0	0	0	0
329406	1	0	0	0	0
335198	1	0	0	0	0
335219	1	0	0	0	0
558278	1	0	0	0	0
730608	1	NA	NA	0	0
334898	1	0	0	0	0
