GROUP_NAME,HIGHER_CLASSIFICATION,KINGDOM,PHYLUM,SUBPHYLUM,SUPERCLASS,CLASS,SUBCLASS,SUPERORDER,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,SUPERTRIBE,TRIBE,SUBTRIBE,GENUS,SUB_GENUS,SPECIES,SUB_SPECIES,AUTHOR,YEAR,CHANGED_COMBINATION,VALID_NAME,COMPLETE_NAME,SYNONYMS,CHANGED_COMB_NAMES,MISC_LIT_NAMES,COMMON_NAMES,LAST_UPDATED,TAXON_GUID
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus flavus",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,flavus,,Girault,1913,Yes,Aprostocetus flavus,"Aprostocetus flavus (Girault, 1913)","Ootetrastichus flavus Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,1ff71ede-614c-4efe-af12-009831399f79
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus viridithorax",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,viridithorax,,Girault,1913,Yes,Aprostocetus viridithorax,"Aprostocetus viridithorax (Girault, 1913)","Trichoporoides viridithorax Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,891e7140-206e-4ae7-aca6-f7c20b34b478
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus flavus",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,flavus,,Girault,1913,Yes,Aprostocetus flavus,"Aprostocetus flavus (Girault, 1913)","Trichaporoides flavus Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,2cab2af2-b4e2-4551-a18e-30ec1083e24d
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus fuscipennis",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,fuscipennis,,Girault,1913,Yes,Aprostocetus fuscipennis,"Aprostocetus fuscipennis (Girault, 1913)","Syntomosphyrella fuscipennis Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,126172be-fd52-4f61-bd55-55518fc00d42
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus fuscipennis",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,fuscipennis,,Girault,1913,Yes,Aprostocetus fuscipennis,"Aprostocetus fuscipennis (Girault, 1913)","Tetrastichella fuscipennis Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,62d442b5-14b4-40c3-a9df-124945863ef7
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus viridithorax",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,viridithorax,,Girault,1913,Yes,Aprostocetus viridithorax,"Aprostocetus viridithorax (Girault, 1913)","Ootetrastichus viridithorax Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,93256401-f4e8-424d-b1b2-a910332fed64
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family MYMARIDAE, Genus Metanthemus, Species Metanthemus aureus",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,MYMARIDAE,,,,,Metanthemus,,aureus,,Girault,1928,No,Metanthemus aureus,"Metanthemus aureus Girault, 1928","Metanthemus aureus Girault, 1928",,,,06-MAY-20 05.05.46.965000 PM,44c93fd0-51d1-4f9c-a0b7-2d8c9771b5b9
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily CHALCIDOIDEA, Family EULOPHIDAE, Subfamily Tetrastichinae, Genus Aprostocetus, Species Aprostocetus flavus",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,CHALCIDOIDEA,EULOPHIDAE,Tetrastichinae,,,,Aprostocetus,,flavus,,Girault,1913,Yes,Aprostocetus flavus,"Aprostocetus flavus (Girault, 1913)","Aprostocerella flava Girault, 1913",,,,06-MAY-20 05.05.46.965000 PM,825a3c55-b875-4836-acdf-de79ee5537e7
ARTHROPODA,"Phylum ARTHROPODA, Subphylum HEXAPODA, Class INSECTA, Higher Taxon Pterygotes, Order HYMENOPTERA, Superfamily ICHNEUMONOIDEA, Family BRACONIDAE, Subfamily Euphorinae, Genus Planitorus, Species Planitorus breviflagellaris",ANIMALIA,ARTHROPODA,HEXAPODA,NA,INSECTA,,,HYMENOPTERA,,ICHNEUMONOIDEA,BRACONIDAE,Euphorinae,,,,Planitorus,,breviflagellaris,,van Achterberg,1995,No,Planitorus breviflagellaris,"Planitorus breviflagellaris van Achterberg, 1995","Planitorus breviflagellaris van Achterberg, 1995",,,,28-JUL-20 02.57.19.076000 PM,0c130359-22ad-440f-8b5c-1150a224a6d6
MOLLUSCA,"Phylum MOLLUSCA, Class GASTROPODA, Higher Taxon ORTHOGASTROPODA, Subclass HETEROBRANCHIA, Infraclass EUTHYNEURA, Cohort TECTIPLEURA, Higher Taxon PANPULMONATA, Superorder EUPULMONATA, Order STYLOMMATOPHORA, Suborder HELICINA, Superfamily PUNCTOIDEA, Family CHAROPIDAE, Genus Insullaoma, Species Insullaoma riddlei",ANIMALIA,MOLLUSCA,NA,NA,GASTROPODA,HETEROBRANCHIA,EUPULMONATA,STYLOMMATOPHORA,HELICINA,PUNCTOIDEA,CHAROPIDAE,,NA,,NA,Insullaoma,,riddlei,,Iredale,1937,Yes,Insullaoma riddlei,"Insullaoma riddlei (Iredale, 1937)","Paralaoma (Insullaoma) riddlei Iredale, 1937",,,Whidbey Isles Pinwheel Snail,06-MAY-20 05.29.24.181000 PM,9042d7dd-21ce-4158-af39-2272f4496c5f
